Time;Speed;;;;
0;0.225042;;;;
0.000152;0.450304;;;;
0.025704;0.645814;;;;
0.025856;0.430543;;;;
0.050316;0.674468;;;;
0.05048;0.674139;;;;
0.075964;0.862965;;;;
0.07612;0.863234;;;;
0.100628;0.897394;;;;
0.100784;0.897394;;;;
0.125384;1.34109;;;;
0.125548;1.11721;;;;
0.15062;1.31558;;;;
0.150772;1.53557;;;;
0.175324;1.5679;;;;
0.175488;1.56714;;;;
0.201084;1.93323;;;;
0.20124;1.71896;;;;
0.225348;1.82438;;;;
0.225512;2.05175;;;;
0.251136;2.1457;;;;
0.251292;1.93173;;;;
0.275908;2.01033;;;;
0.27606;2.23407;;;;
0.300668;2.23479;;;;
0.30084;2.23298;;;;
0.325852;2.41688;;;;
0.326024;2.63659;;;;
0.35018;2.50192;;;;
0.350352;2.27447;;;;
0.375964;2.78984;;;;
0.37612;2.79158;;;;
0.400764;2.67742;;;;
0.400916;2.67785;;;;
0.425028;2.73656;;;;
0.425184;2.73611;;;;
0.45072;2.79983;;;;
0.450876;2.79983;;;;
0.475504;2.90241;;;;
0.475656;3.12618;;;;
0.500832;3.05854;;;;
0.500988;3.05806;;;;
0.525652;3.12114;;;;
0.525808;3.12114;;;;
0.551016;3.0542;;;;
0.551172;3.0542;;;;
0.576784;3.22105;;;;
0.57694;3.22105;;;;
0.601108;3.41227;;;;
0.601264;3.41227;;;;
0.626904;3.21755;;;;
0.627056;3.21805;;;;
0.651736;3.34246;;;;
0.651888;3.34246;;;;
0.67754;3.43099;;;;
0.677696;3.43046;;;;
0.7053;3.5879;;;;
0.705464;3.58686;;;;
0.731144;3.63979;;;;
0.731316;3.63866;;;;
0.756884;3.65449;;;;
0.75704;3.65677;;;;
0.781672;3.79485;;;;
0.781828;3.57162;;;;
0.809572;3.76822;;;;
0.809728;3.76822;;;;
0.834536;3.76809;;;;
0.834688;3.7687;;;;
0.859784;3.72571;;;;
0.85994;3.94424;;;;
0.885088;3.93614;;;;
0.885244;3.71746;;;;
0.910916;3.85628;;;;
0.911072;3.85628;;;;
0.935164;3.87936;;;;
0.935336;3.8768;;;;
0.960532;4.14433;;;;
0.9607;4.14498;;;;
0.985352;4.01289;;;;
0.985516;3.79056;;;;
1.010728;3.92497;;;;
1.010884;4.14433;;;;
1.035492;4.02197;;;;
1.03566;4.24335;;;;
1.060856;4.14498;;;;
1.061008;3.9293;;;;
1.085692;4.2331;;;;
1.085848;4.00966;;;;
1.110052;4.08867;;;;
1.11022;4.31369;;;;
1.135848;4.07557;;;;
1.136004;4.07746;;;;
1.16062;4.24404;;;;
1.160792;4.2413;;;;
1.18598;4.14564;;;;
1.186132;4.14891;;;;
1.210392;4.30662;;;;
1.210556;4.30451;;;;
1.235164;4.24404;;;;
1.23532;4.24541;;;;
1.2606;4.13325;;;;
1.260756;4.35079;;;;
1.285452;4.45303;;;;
1.285608;4.23038;;;;
1.310824;4.36176;;;;
1.310976;4.36245;;;;
1.336064;4.38457;;;;
1.336232;4.3818;;;;
1.36506;4.19828;;;;
1.365232;4.38851;;;;
1.390932;4.49134;;;;
1.391084;4.28078;;;;
1.41524;4.32505;;;;
1.415392;4.55268;;;;
1.44106;4.50039;;;;
1.441212;4.28608;;;;
1.465368;4.32505;;;;
1.465552;4.5467;;;;
1.490172;4.46165;;;;
1.490344;4.46381;;;;
1.515556;4.57769;;;;
1.515712;4.36245;;;;
1.5403;4.47246;;;;
1.540464;4.47102;;;;
1.565808;4.55543;;;;
1.56596;4.55758;;;;
1.591132;4.37003;;;;
1.591296;4.58636;;;;
1.620104;4.58374;;;;
1.62026;4.585;;;;
1.64588;4.50807;;;;
1.646036;4.50807;;;;
1.670196;4.55119;;;;
1.670352;4.55119;;;;
1.696096;4.48649;;;;
1.696252;4.48649;;;;
1.720472;4.53998;;;;
1.720628;4.53998;;;;
1.746328;4.70813;;;;
1.746492;4.70667;;;;
1.774144;4.5753;;;;
1.774296;4.57728;;;;
1.799464;4.58926;;;;
1.79962;4.58853;;;;
1.824844;4.57841;;;;
1.825;4.57841;;;;
1.849644;4.68548;;;;
1.849796;4.68624;;;;
1.874456;4.46021;;;;
1.874612;4.68246;;;;
1.89984;4.57769;;;;
1.899996;4.57769;;;;
1.924136;4.55493;;;;
1.924308;4.55194;;;;
1.950032;4.70085;;;;
1.950188;4.70376;;;;
1.974276;4.5647;;;;
1.974456;4.56019;;;;
2.000144;4.70594;;;;
2.0003;4.71031;;;;
2.024492;4.77247;;;;
2.024648;4.77247;;;;
2.049324;4.45661;;;;
2.049488;4.67794;;;;
2.074736;4.79039;;;;
2.074888;4.79265;;;;
2.099564;4.6802;;;;
2.099736;4.67643;;;;
2.12496;4.57552;;;;
2.125116;4.57841;;;;
2.149748;4.68775;;;;
2.14992;4.90781;;;;
2.174112;4.76933;;;;
2.174264;4.54595;;;;
2.199592;4.56044;;;;
2.199764;4.77386;;;;
2.224364;4.69078;;;;
2.224528;4.6923;;;;
2.249808;4.78436;;;;
2.249976;4.78361;;;;
2.274712;4.66592;;;;
2.274868;4.66817;;;;
2.300016;4.59216;;;;
2.300188;4.80779;;;;
2.325304;4.81388;;;;
2.325476;4.59506;;;;
2.350716;4.79039;;;;
2.350868;4.79416;;;;
2.37594;4.60672;;;;
2.376112;4.60307;;;;
2.400276;4.77482;;;;
2.40044;4.77639;;;;
2.4262;4.69578;;;;
2.426356;4.91074;;;;
2.450476;4.78662;;;;
2.450632;4.55869;;;;
2.47532;4.67719;;;;
2.475484;4.89833;;;;
2.500664;4.80324;;;;
2.500816;4.80552;;;;
2.525468;4.68473;;;;
2.52562;4.68473;;;;
2.55086;4.79416;;;;
2.551028;4.79114;;;;
2.57574;4.67042;;;;
2.575892;4.67342;;;;
2.600052;4.77953;;;;
2.600208;4.77875;;;;
2.62596;4.69868;;;;
2.626128;4.90998;;;;
2.650268;4.78032;;;;
2.650432;4.55343;;;;
2.675732;4.7806;;;;
2.675884;4.78286;;;;
2.701008;4.81616;;;;
2.701164;4.8154;;;;
2.72948;4.66423;;;;
2.729636;4.85857;;;;
2.754748;4.81769;;;;
2.75492;4.81464;;;;
2.779144;4.76308;;;;
2.7793;4.7662;;;;
2.804952;4.71688;;;;
2.805108;4.71688;;;;
2.829928;4.65247;;;;
2.830084;4.87401;;;;
2.855236;4.81007;;;;
